time_sec,command,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26,lookahead1,lookahead2
2.253,,,,,,0x18c,"[3, 0, 145, 5, 0, 0, 1, 0]",,,,,,,,
2.269,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
2.272,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
2.275,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.279,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.281,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.284,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.289,,,,,,0x18ef7000,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,,,
2.292,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
2.296,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.301,,,,,,0x23a,"[50, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
2.305,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
2.309,,,,,,0x80,[],,,,,,,,
2.314,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.316,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.320,,,,,,0x18c,"[3, 0, 144, 5, 0, 0, 2, 0]",,,,,,,,
2.329,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
2.333,,,,,,0x18f,"[65, 247, 202, 236, 0, 0, 0, 0]",,,,,,,,
2.336,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.338,,,,,,0x23a,"[66, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
2.340,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.344,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.350,,,,,,0x18f,"[97, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.354,,,,,,0x70b,[5],,,,,,,,
2.356,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
2.359,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.362,,,,,,0x23a,"[82, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
2.366,,,,,,0x80,[],,,,,,,,
2.371,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.373,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.376,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.378,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.382,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.389,,,,0.008,0.009,,,,,,,,,,
2.389,,,,,,,,,,,,,,3.327,-0.173
2.398,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.399,open,,,,,,,,,,,,,,
2.402,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
2.406,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.410,,,,,,,,,,,,,,3.327,-0.173
2.412,,,,,,0x23a,"[98, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
2.417,,,,,,0x4,"[0, 16, 0, 0, 0, 0, 0, 127]",,,,,,,,
2.425,,-0.001,-0.001,,,,,,,,,,,,
2.426,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
