time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
1.363,,,,,,,,,,,,,,,,,,,,,0x18ef7300,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,
1.366,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.367,,,,,,,,,,,,,,,,,,,,,0x18b,"[3, 0, 128, 5, 0, 0, 1, 0]",,,,,,
1.379,,,,,,,,,,,,,,,,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.383,,,,,,,,,,,,,,,,,,,,,0x18c,"[3, 0, 141, 5, 0, 0, 3, 0]",,,,,,
1.387,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.395,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 181, 236, 0, 0, 0, 0]",,,,,,
1.407,,,,,,,,,,,,,,,,,,,,,0x18a,"[3, 0, 134, 5, 0, 0, 0, 0]",,,,,,
1.413,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.418,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.422,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.427,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.441,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.444,,,,,,,,,,,,,,,,,,,,,0x23a,"[98, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.447,,,,,,,,,,,,,,,,,,,,,0x701,[5],,,,,,
1.449,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.456,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.461,,,,,,,,,,,,,,,,,,,,,0x18b,"[3, 0, 128, 5, 0, 0, 1, 0]",,,,,,
1.463,,,,,,,,,,,,,,,,,,,,,0x18c,"[3, 0, 141, 5, 0, 0, 4, 0]",,,,,,
1.466,,,,,,,,,,,,,,,,,,,,,0x18d,"[3, 0, 128, 5, 0, 0, 0, 0]",,,,,,
1.469,,,,,,,,,,,,,,,,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,
1.470,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.473,,,,,,,,,,,,,,,,,,,,,0x23a,"[114, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.475,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.478,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.480,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.481,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.496,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.498,,,,,,,,,,,,,,,,,0.000,0.000,-0.012,-0.009,,,,,,,,
1.498,0.000,-2.214,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",3.048,3.048,3.048,0,0,0,2.600,-0.900,,,,,,,,,,,,
1.504,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.509,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.515,,,,,,,,,,,,,,,,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,
1.516,0.000,-2.214,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",3.048,3.048,3.048,0,0,0,2.600,-0.900,,,,,,,,,,,,
1.519,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.522,,,,,,,,,,,,,,,,,,,,,0x80,[],,,,,,
1.523,,,,,,,,,,,,,,,,,0.001,-0.001,-0.012,-0.009,,,,,,,,
1.529,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.531,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
